省份,iso,tele_e,lag,estimate_e,lower_ci_e,upper_ci_e,sig,,,
黑龙江省,230000,0.592757784,1,-0.021956939,-0.086996727,0.043082849,0,,,
黑龙江省,230000,0.592757784,2,-0.108016786,-0.176053629,-0.039979944,1,,,
黑龙江省,230000,0.592757784,3,0.128088058,0.047338694,0.208837423,1,,,
黑龙江省,230000,0.592757784,4,-0.047166408,-0.137030827,0.04269801,0,,,
黑龙江省,230000,0.592757784,5,0.06690352,-0.026356953,0.160163993,0,,,
黑龙江省,230000,0.592757784,6,0.106773296,0.006318462,0.20722813,1,,,
吉林省,220000,0.562162909,1,-0.039755279,-0.114089763,0.034579206,0,,,
吉林省,220000,0.562162909,2,-0.125575184,-0.20302157,-0.048128797,1,,,
吉林省,220000,0.562162909,3,0.120778721,0.0290965,0.212460942,1,,,
吉林省,220000,0.562162909,4,-0.072861923,-0.175191931,0.029468086,0,,,
吉林省,220000,0.562162909,5,0.058045074,-0.04797961,0.164069758,0,,,
吉林省,220000,0.562162909,6,0.079857332,-0.033793639,0.193508302,0,,,
内蒙古自治区,150000,0.608904501,1,-0.012563707,-0.073139887,0.048012473,0,,,
内蒙古自治区,150000,0.608904501,2,-0.098750186,-0.16228337,-0.035217002,1,,,
内蒙古自治区,150000,0.608904501,3,0.131945626,0.056416978,0.207474274,1,,,
内蒙古自治区,150000,0.608904501,4,-0.033605372,-0.117502504,0.050291759,0,,,
内蒙古自治区,150000,0.608904501,5,0.071578644,-0.01557975,0.158737037,0,,,
内蒙古自治区,150000,0.608904501,6,0.120978436,0.02680535,0.215151521,1,,,
新疆维吾尔自治区,650000,0.869026001,1,0.138760031,0.059094411,0.21842565,1,,,
新疆维吾尔自治区,650000,0.869026001,2,0.050533531,-0.032299201,0.133366263,0,,,
新疆维吾尔自治区,650000,0.869026001,3,0.194090537,0.096070731,0.292110342,1,,,
新疆维吾尔自治区,650000,0.869026001,4,0.184861145,0.075318983,0.294403307,1,,,
新疆维吾尔自治区,650000,0.869026001,5,0.146894273,0.033493878,0.260294669,1,,,
新疆维吾尔自治区,650000,0.869026001,6,0.349821373,0.228414595,0.47122815,1,,,
辽宁省,210000,0.683873748,1,0.031049092,-0.015632998,0.077731182,0,,,
辽宁省,210000,0.683873748,2,-0.055725339,-0.105335319,-0.006115358,1,,,
辽宁省,210000,0.683873748,3,0.149856322,0.090385135,0.20932751,1,,,
辽宁省,210000,0.683873748,4,0.029358551,-0.036092184,0.094809287,0,,,
辽宁省,210000,0.683873748,5,0.093285254,0.024939796,0.161630712,1,,,
辽宁省,210000,0.683873748,6,0.186932933,0.111951161,0.261914704,1,,,
北京市,110000,0.657671343,1,0.015806039,-0.034112487,0.065724565,0,,,
北京市,110000,0.657671343,2,-0.070762898,-0.123600129,-0.017925667,1,,,
北京市,110000,0.657671343,3,0.143596378,0.080419203,0.206773553,1,,,
北京市,110000,0.657671343,4,0.007352112,-0.06237196,0.077076183,0,,,
北京市,110000,0.657671343,5,0.085698605,0.01300309,0.158394119,1,,,
北京市,110000,0.657671343,6,0.163881261,0.084494437,0.243268085,1,,,
天津市,120000,0.585728355,1,-0.026046257,-0.093134408,0.041041895,0,,,
天津市,120000,0.585728355,2,-0.112050975,-0.182158177,-0.041943774,1,,,
天津市,120000,0.585728355,3,0.126408677,0.043256417,0.209560937,1,,,
天津市,120000,0.585728355,4,-0.053070168,-0.145677583,0.039537247,0,,,
天津市,120000,0.585728355,5,0.064868218,-0.031199163,0.160935599,0,,,
天津市,120000,0.585728355,6,0.100589128,-0.00276169,0.203939946,0,,,
河北省,130000,0.535806517,1,-0.055087913,-0.138070931,0.027895106,0,,,
河北省,130000,0.535806517,2,-0.140701116,-0.22693114,-0.054471092,1,,,
河北省,130000,0.535806517,3,0.114481988,0.012571716,0.21639226,1,,,
河北省,130000,0.535806517,4,-0.094997691,-0.208961989,0.018966607,0,,,
河北省,130000,0.535806517,5,0.050413839,-0.06753929,0.168366968,0,,,
河北省,130000,0.535806517,6,0.05667019,-0.06936363,0.18270401,0,,,
山西省,140000,0.653380632,1,0.01330995,-0.037329706,0.063949605,0,,,
山西省,140000,0.653380632,2,-0.073225337,-0.126783117,-0.019667557,1,,,
山西省,140000,0.653380632,3,0.142571296,0.078564866,0.206577726,1,,,
山西省,140000,0.653380632,4,0.003748501,-0.066930218,0.074427219,0,,,
山西省,140000,0.653380632,5,0.084456271,0.010788241,0.158124302,1,,,
山西省,140000,0.653380632,6,0.160106491,0.07973132,0.240481662,1,,,
宁夏回族自治区,640000,0.794808805,1,0.095584732,0.037839243,0.153330221,1,,,
宁夏回族自治区,640000,0.794808805,2,0.007940285,-0.05272448,0.068605051,0,,,
宁夏回族自治区,640000,0.794808805,3,0.176359511,0.104101148,0.248617874,1,,,
宁夏回族自治区,640000,0.794808805,4,0.122528841,0.042375338,0.202682344,1,,,
宁夏回族自治区,640000,0.794808805,5,0.125405412,0.042084574,0.20872625,1,,,
宁夏回族自治区,640000,0.794808805,6,0.284528496,0.194219073,0.374837918,1,,,
甘肃省,620000,0.809319375,1,0.104026148,0.042525968,0.165526327,1,,,
甘肃省,620000,0.809319375,2,0.016267901,-0.048176004,0.080711805,0,,,
甘肃省,620000,0.809319375,3,0.179826191,0.103188074,0.256464309,1,,,
甘肃省,620000,0.809319375,4,0.134715737,0.049549011,0.219882464,1,,,
甘肃省,620000,0.809319375,5,0.129606805,0.041164692,0.218048919,1,,,
甘肃省,620000,0.809319375,6,0.297294228,0.201718122,0.392870335,1,,,
山东省,370000,0.61462279,1,-0.009237135,-0.068324168,0.049849897,0,,,
山东省,370000,0.61462279,2,-0.09546846,-0.157501844,-0.033435077,1,,,
山东省,370000,0.61462279,3,0.133311767,0.059519529,0.207104005,1,,,
山东省,370000,0.61462279,4,-0.028802791,-0.110712581,0.053106999,0,,,
山东省,370000,0.61462279,5,0.073234318,-0.011893293,0.15836193,0,,,
山东省,370000,0.61462279,6,0.126009123,0.033921813,0.218096434,1,,,
陕西省,610000,0.750042761,1,0.06954242,0.02069922,0.118385621,1,,,
陕西省,610000,0.750042761,2,-0.017750945,-0.069503978,0.034002088,0,,,
陕西省,610000,0.750042761,3,0.165664579,0.103705903,0.227623255,1,,,
陕西省,610000,0.750042761,4,0.084931481,0.016610881,0.153252082,1,,,
陕西省,610000,0.750042761,5,0.112443843,0.041184861,0.183702824,1,,,
陕西省,610000,0.750042761,6,0.245145388,0.167173698,0.323117079,1,,,
青海省,630000,0.636659688,1,0.003582665,-0.050308126,0.057473457,0,,,
青海省,630000,0.636659688,2,-0.082821486,-0.139634079,-0.026008892,1,,,
青海省,630000,0.636659688,3,0.138576541,0.070818345,0.206334738,1,,,
青海省,630000,0.636659688,4,-0.010294808,-0.085286376,0.06469676,0,,,
青海省,630000,0.636659688,5,0.079614886,0.001550025,0.157679747,1,,,
青海省,630000,0.636659688,6,0.145396173,0.060540397,0.23025195,1,,,
河南省,410000,0.750178907,1,0.069621622,0.020759019,0.118484225,1,,,
河南省,410000,0.750178907,2,-0.017672811,-0.069445172,0.03409955,0,,,
河南省,410000,0.750178907,3,0.165697105,0.103716137,0.227678073,1,,,
河南省,410000,0.750178907,4,0.085045825,0.016699532,0.153392119,1,,,
河南省,410000,0.750178907,5,0.112483263,0.041198142,0.183768383,1,,,
河南省,410000,0.750178907,6,0.245265163,0.167266848,0.323263478,1,,,
江苏省,320000,0.654435956,1,0.013923876,-0.036533856,0.064381609,0,,,
江苏省,320000,0.654435956,2,-0.072619686,-0.12599564,-0.019243733,1,,,
江苏省,320000,0.654435956,3,0.142823421,0.079026299,0.206620542,1,,,
江苏省,320000,0.654435956,4,0.004634829,-0.065802983,0.07507264,0,,,
江苏省,320000,0.654435956,5,0.08476183,0.011339242,0.158184418,1,,,
江苏省,320000,0.654435956,6,0.161034916,0.080909284,0.241160549,1,,,
安徽省,340000,0.707038712,1,0.044525136,-0.001182233,0.090232506,0,,,
安徽省,340000,0.707038712,2,-0.042430967,-0.091069568,0.006207634,0,,,
安徽省,340000,0.707038712,3,0.1553906,0.097027451,0.213753749,1,,,
安徽省,340000,0.707038712,4,0.048813956,-0.015356723,0.112984635,0,,,
安徽省,340000,0.707038712,5,0.099992442,0.032950068,0.167034817,1,,,
安徽省,340000,0.707038712,6,0.207312403,0.133637773,0.280987033,1,,,
上海市,310000,0.8213917,1,0.111049132,0.046187263,0.175911001,1,,,
上海市,310000,0.8213917,2,0.023196208,-0.04463901,0.091031426,0,,,
上海市,310000,0.8213917,3,0.182710357,0.10213692,0.263283794,1,,,
上海市,310000,0.8213917,4,0.144854841,0.055190783,0.234518899,1,,,
上海市,310000,0.8213917,5,0.133102229,0.040061649,0.226142808,1,,,
上海市,310000,0.8213917,6,0.307914905,0.207598094,0.408231715,1,,,
西藏自治区,540000,0.500579205,1,-0.075581138,-0.170755628,0.019593351,0,,,
西藏自治区,540000,0.500579205,2,-0.160918069,-0.259562002,-0.062274135,1,,,
西藏自治区,540000,0.500579205,3,0.106065928,-0.01032498,0.222456836,0,,,
西藏自治区,540000,0.500579205,4,-0.12458382,-0.254988132,0.005820493,0,,,
西藏自治区,540000,0.500579205,5,0.040214116,-0.09461235,0.175040583,0,,,
西藏自治区,540000,0.500579205,6,0.02567882,-0.117929252,0.169286893,0,,,
湖北省,420000,0.720866868,1,0.052569563,0.006539552,0.098599574,1,,,
湖北省,420000,0.720866868,2,-0.034494989,-0.083452129,0.014462151,0,,,
湖北省,420000,0.720866868,3,0.158694247,0.099960406,0.217428087,1,,,
湖北省,420000,0.720866868,4,0.060427718,-0.004171408,0.125026844,0,,,
湖北省,420000,0.720866868,5,0.103996249,0.036519734,0.171472765,1,,,
湖北省,420000,0.720866868,6,0.219477779,0.145356589,0.293598969,1,,,
四川省,510000,0.825915231,1,0.113680663,0.047510694,0.179850631,1,,,
四川省,510000,0.825915231,2,0.025792262,-0.043364309,0.094948833,0,,,
四川省,510000,0.825915231,3,0.183791062,0.101683163,0.26589896,1,,,
四川省,510000,0.825915231,4,0.148653989,0.057237943,0.240070035,1,,,
四川省,510000,0.825915231,5,0.134411973,0.039579066,0.229244879,1,,,
四川省,510000,0.825915231,6,0.311894499,0.209727253,0.414061745,1,,,
重庆市,500000,0.738457741,1,0.062802922,0.015405947,0.110199896,1,,,
重庆市,500000,0.738457741,2,-0.024399588,-0.074713495,0.02591432,0,,,
重庆市,500000,0.738457741,3,0.162896834,0.102597677,0.22319599,1,,,
重庆市,500000,0.738457741,4,0.075201647,0.008794938,0.141608356,1,,,
重庆市,500000,0.738457741,5,0.109089514,0.039776803,0.178402225,1,,,
重庆市,500000,0.738457741,6,0.23495342,0.158963021,0.310943819,1,,,
浙江省,330000,0.831647693,1,0.11701548,0.049153447,0.184877512,1,12.41%,5.02%,20.31%
浙江省,330000,0.831647693,2,0.029082122,-0.04178496,0.099949203,0,,,
浙江省,330000,0.831647693,3,0.185160588,0.101065429,0.269255747,1,,,
浙江省,330000,0.831647693,4,0.153468474,0.059784674,0.247152274,1,,,
浙江省,330000,0.831647693,5,0.136071751,0.038918166,0.233225336,1,,,
浙江省,330000,0.831647693,6,0.316937656,0.212372451,0.421502861,1,37.29%,23.66%,52.43%
江西省,360000,0.79643261,1,0.096529368,0.038380981,0.154677756,1,,,
江西省,360000,0.79643261,2,0.008872187,-0.052197614,0.069941988,0,,,
江西省,360000,0.79643261,3,0.17674745,0.104019988,0.249474912,1,,,
江西省,360000,0.79643261,4,0.123892616,0.043201718,0.204583513,1,,,
江西省,360000,0.79643261,5,0.125875569,0.042006017,0.209745121,1,,,
江西省,360000,0.79643261,6,0.285957045,0.195084045,0.376830044,1,,,
湖南省,430000,0.743115144,1,0.065512331,0.017583521,0.113441141,1,,,
湖南省,430000,0.743115144,2,-0.021726704,-0.072569468,0.02911606,0,,,
湖南省,430000,0.743115144,3,0.164009521,0.103100572,0.22491847,1,,,
湖南省,430000,0.743115144,4,0.079113229,0.012002976,0.146223483,1,,,
湖南省,430000,0.743115144,5,0.110438019,0.040410063,0.180465976,1,,,
湖南省,430000,0.743115144,6,0.239050789,0.162332503,0.315769075,1,,,
贵州省,520000,0.783541687,1,0.08903017,0.033946454,0.144113886,1,,,
贵州省,520000,0.783541687,2,0.001474087,-0.056518068,0.059466242,0,,,
贵州省,520000,0.783541687,3,0.173667715,0.104502664,0.242832765,1,,,
贵州省,520000,0.783541687,4,0.113066002,0.036459148,0.189672856,1,,,
贵州省,520000,0.783541687,5,0.122143128,0.042441877,0.20184438,1,,,
贵州省,520000,0.783541687,6,0.274616203,0.188019715,0.361212691,1,,,
福建省,350000,0.810759891,1,0.104864157,0.042973414,0.166754899,1,,,
福建省,350000,0.810759891,2,0.017094613,-0.047742946,0.081932172,0,,,
福建省,350000,0.810759891,3,0.180170341,0.103075652,0.25726503,1,,,
福建省,350000,0.810759891,4,0.135925574,0.050236747,0.221614401,1,,,
福建省,350000,0.810759891,5,0.130023893,0.041048128,0.218999657,1,,,
福建省,350000,0.810759891,6,0.298561528,0.202435799,0.394687257,1,,,
云南省,530000,0.646544986,1,0.009333364,-0.042553958,0.061220685,0,,,
云南省,530000,0.646544986,2,-0.077148314,-0.131953986,-0.022342641,1,,,
云南省,530000,0.646544986,3,0.140938211,0.075494434,0.206381987,1,,,
云南省,530000,0.646544986,4,-0.001992508,-0.074324693,0.070339676,0,,,
云南省,530000,0.646544986,5,0.082477077,0.007123999,0.157830155,1,,,
云南省,530000,0.646544986,6,0.154092804,0.072002719,0.236182889,1,,,
广西壮族自治区,450000,0.649788744,1,0.011220396,-0.040060139,0.062500931,0,,,
广西壮族自治区,450000,0.649788744,2,-0.075286721,-0.129485305,-0.021088137,1,,,
广西壮族自治区,450000,0.649788744,3,0.141713168,0.076968828,0.206457508,1,,,
广西壮族自治区,450000,0.649788744,4,0.000731805,-0.070795965,0.072259576,0,,,
广西壮族自治区,450000,0.649788744,5,0.083416275,0.008883074,0.157949476,1,,,
广西壮族自治区,450000,0.649788744,6,0.156946513,0.075691208,0.238201818,1,,,
广东省,440000,0.657572742,1,0.015748678,-0.034185862,0.065683218,0,,,
广东省,440000,0.657572742,2,-0.070819485,-0.123672712,-0.017966258,1,,,
广东省,440000,0.657572742,3,0.143572821,0.080377244,0.206768399,1,,,
广东省,440000,0.657572742,4,0.0072693,-0.062475963,0.077014563,0,,,
广东省,440000,0.657572742,5,0.085670056,0.012952956,0.158387155,1,,,
广东省,440000,0.657572742,6,0.163794517,0.084385768,0.243203265,1,,,
海南省,460000,0.936057134,1,0.177754891,0.074750859,0.280758923,1,,,
海南省,460000,0.936057134,2,0.089002695,-0.017600048,0.195605438,0,,,
海南省,460000,0.936057134,3,0.21010476,0.084344178,0.335865342,1,,,
海南省,460000,0.936057134,4,0.241158138,0.100129934,0.382186341,1,,,
海南省,460000,0.936057134,5,0.166302481,0.020583168,0.312021793,1,,,
海南省,460000,0.936057134,6,0.408792282,0.253697426,0.563887138,1,,,
